Date,Open,High,Low,Close,Adj Close,Volume
01-02-2019,159.059998,159.539993,155.699997,158.619995,154.818436,48364111
04-02-2019,158.5,159.600006,157.559998,158.399994,154.603714,35033974
05-02-2019,158.339996,161.539993,158.199997,160.520004,156.672913,35828717
06-02-2019,159.820007,161.839996,158.580002,161.580002,157.707504,42470095
07-02-2019,160.440002,161.360001,156.419998,156.419998,152.671173,44383164
08-02-2019,156.940002,158.039993,154.940002,155.940002,152.202682,33753322
11-02-2019,157.479996,157.919998,155.539993,156.839996,153.0811,23954410
12-02-2019,157.839996,158.580002,157.279999,158.059998,154.271866,18314982
13-02-2019,158.179993,159.059998,156.940002,158.020004,154.232834,16834071
14-02-2019,158.399994,159.360001,156.380005,156.960007,153.198242,16196805
15-02-2019,156.880005,159.940002,156.559998,159.5,155.677353,24137384
18-02-2019,160,160.139999,158,158.119995,154.330429,21331507
19-02-2019,158,159.059998,157.199997,159,155.189331,24078775
20-02-2019,158.600006,161.399994,157.979996,160.880005,157.024292,46171558
21-02-2019,165.699997,168.639999,160,160.779999,156.926682,54673325
22-02-2019,158.740005,160.320007,155.960007,156.139999,152.397888,64590604
25-02-2019,156.460007,159.720001,154.600006,159.220001,155.404068,123302392
26-02-2019,158.600006,165.300003,157.979996,164.899994,160.947937,94779694
27-02-2019,163.679993,168.360001,163.679993,166.899994,162.899994,54904955
28-02-2019,162.860001,166.080002,162.020004,164.160004,164.160004,48669408
01-03-2019,165.320007,165.380005,162.039993,162.5,162.5,37978418
04-03-2019,163.380005,165.199997,163.059998,163.740005,163.740005,56376661
05-03-2019,164,165.619995,163.419998,164.559998,164.559998,153922400
06-03-2019,164.979996,166.419998,163.979996,165.320007,165.320007,82958305
07-03-2019,164.919998,165.479996,160.039993,162.279999,162.279999,53376219
08-03-2019,160.020004,160.660004,157.839996,158.779999,158.779999,48810878
11-03-2019,159.860001,161,159,161,161,29078530
12-03-2019,162.839996,165.520004,162.080002,162.860001,162.860001,51935288
13-03-2019,162.059998,164.699997,161.639999,163.899994,163.899994,106573971
14-03-2019,164.919998,167.059998,164.160004,164.979996,164.979996,45237564
15-03-2019,165.5,165.940002,164.419998,165.940002,165.940002,69892412
